id,date,mdsLatency,pubLatency,netLatency
210,2016-09-27 13:58:39.892,5.615186,0.026769,0.002537
211,2016-09-27 13:58:39.892,5.613324,0.024907,0.002612
212,2016-09-27 13:58:39.892,5.620644,0.032227,0.003036
213,2016-09-27 13:58:39.892,5.618125,0.029708,0.002819
214,2016-09-27 13:58:39.892,5.616400,0.027983,0.002978
215,2016-09-27 13:58:39.892,5.623513,0.035096,0.002763
216,2016-09-27 13:58:39.892,5.612542,0.024125,0.002620
217,2016-09-27 13:58:39.892,5.621088,0.032671,0.002850
218,2016-09-27 13:58:39.892,5.619664,0.031247,0.003161
219,2016-09-27 13:58:39.892,5.626046,0.037629,0.002426
220,2016-09-27 13:58:39.892,5.616092,0.027675,0.003433
221,2016-09-27 13:58:39.892,5.624100,0.035683,0.002902
222,2016-09-27 13:58:39.892,5.615459,0.027042,0.005951
223,2016-09-27 13:58:39.892,5.622519,0.034102,0.002752
224,2016-09-27 13:58:39.892,5.628566,0.040149,0.002408
225,2016-09-27 13:58:39.892,5.619566,0.031149,0.003364
226,2016-09-27 13:58:39.892,5.627109,0.038692,0.002903
227,2016-09-27 13:58:39.892,5.618959,0.030542,0.003272
228,2016-09-27 13:58:39.892,5.625626,0.037209,0.003003
229,2016-09-27 13:58:39.892,5.631837,0.043420,0.003160
230,2016-09-27 13:58:39.892,5.630373,0.041956,0.003157
231,2016-09-27 13:58:39.892,5.622799,0.034382,0.003133
232,2016-09-27 13:58:39.892,5.629220,0.040803,0.003492
233,2016-09-27 13:58:39.892,5.622212,0.033795,0.003129
234,2016-09-27 13:58:39.892,5.634958,0.046541,0.003011
235,2016-09-27 13:58:39.892,5.633437,0.045020,0.002953
236,2016-09-27 13:58:39.892,5.625538,0.037121,0.003216
237,2016-09-27 13:58:39.892,5.625815,0.037398,0.002913
238,2016-09-27 13:58:39.892,5.636773,0.048356,0.007434
239,2016-09-27 13:58:39.892,5.639363,0.050946,0.004294
240,2016-09-27 13:58:39.892,5.636353,0.047936,0.002811
241,2016-09-27 13:58:39.892,5.628360,0.039943,0.002716
242,2016-09-27 13:58:39.892,5.629387,0.040970,0.003453
243,2016-09-27 13:58:39.892,5.639127,0.050710,0.002191
244,2016-09-27 13:58:39.892,5.642922,0.054505,0.003437
245,2016-09-27 13:58:39.892,5.640282,0.051865,0.003807
246,2016-09-27 13:58:39.892,5.641843,0.053426,0.002607
247,2016-09-27 13:58:39.892,5.645730,0.057313,0.002692
248,2016-09-27 13:58:39.892,5.643730,0.055313,0.003335
249,2016-09-27 13:58:39.892,5.645019,0.056602,0.003055
250,2016-09-27 13:58:39.892,5.649066,0.060649,0.003220
251,2016-09-27 13:58:39.892,5.646902,0.058485,0.003056
252,2016-09-27 13:58:39.892,5.652695,0.064278,0.003521
253,2016-09-27 13:58:39.892,5.648629,0.060212,0.003508
254,2016-09-27 13:58:39.892,5.631367,0.042950,0.002905
255,2016-09-27 13:58:39.892,5.656469,0.068052,0.003642
256,2016-09-27 13:58:39.892,5.633237,0.044820,0.003742
257,2016-09-27 13:58:39.892,5.651952,0.063535,0.003201
258,2016-09-27 13:58:39.892,5.650450,0.062033,0.003439
259,2016-09-27 13:58:39.892,5.658753,0.070336,0.002167
260,2016-09-27 13:58:39.892,5.636464,0.048047,0.003108
261,2016-09-27 13:58:39.892,5.655247,0.066830,0.003179
262,2016-09-27 13:58:39.892,5.654111,0.065694,0.003544
263,2016-09-27 13:58:39.892,5.639661,0.051244,0.003088
264,2016-09-27 13:58:39.892,5.659633,0.071216,0.004268
265,2016-09-27 13:58:39.892,5.657265,0.068848,0.003038
266,2016-09-27 13:58:39.892,5.642625,0.054208,0.002857
267,2016-09-27 13:58:39.892,5.663107,0.074690,0.003352
268,2016-09-27 13:58:39.892,5.646741,0.058324,0.003986
269,2016-09-27 13:58:39.892,5.666387,0.077970,0.003154
270,2016-09-27 13:58:39.892,5.634827,0.046410,0.003336
271,2016-09-27 13:58:39.892,5.650059,0.061642,0.003199
272,2016-09-27 13:58:39.892,5.669549,0.081132,0.003056
273,2016-09-27 13:58:39.892,5.653099,0.064682,0.002926
274,2016-09-27 13:58:39.892,5.672603,0.084186,0.002947
275,2016-09-27 13:58:39.892,5.655687,0.067270,0.002468
276,2016-09-27 13:58:39.892,5.676148,0.087731,0.003433
277,2016-09-27 13:58:39.892,5.661934,0.073517,0.003071
278,2016-09-27 13:58:39.892,5.679820,0.091403,0.003539
279,2016-09-27 13:58:39.892,5.665758,0.077341,0.003721
280,2016-09-27 13:58:39.892,5.660839,0.072422,0.003462
281,2016-09-27 13:58:39.892,5.682557,0.094140,0.002609
282,2016-09-27 13:58:39.892,5.668478,0.080061,0.002608
283,2016-09-27 13:58:39.892,5.664110,0.075693,0.003168
284,2016-09-27 13:58:39.892,5.671901,0.083484,0.003312
285,2016-09-27 13:58:39.892,5.637944,0.049527,0.003015
286,2016-09-27 13:58:39.892,5.666930,0.078513,0.002719
287,2016-09-27 13:58:39.892,5.641175,0.052758,0.003126
288,2016-09-27 13:58:39.892,5.670351,0.081934,0.003309
289,2016-09-27 13:58:39.892,5.644772,0.056355,0.003487
290,2016-09-27 13:58:39.892,5.659069,0.070652,0.003274
291,2016-09-27 13:58:39.892,5.674383,0.085966,0.003892
292,2016-09-27 13:58:39.892,5.648175,0.059758,0.003276
293,2016-09-27 13:58:39.892,5.662460,0.074043,0.003281
294,2016-09-27 13:58:39.892,5.677402,0.088985,0.002915
295,2016-09-27 13:58:39.892,5.652065,0.063648,0.003786
296,2016-09-27 13:58:39.892,5.665589,0.077172,0.003025
297,2016-09-27 13:58:39.892,5.680602,0.092185,0.003091
298,2016-09-27 13:58:39.892,5.675299,0.086882,0.003289
299,2016-09-27 13:58:39.892,5.655463,0.067046,0.003292
300,2016-09-27 13:58:39.892,5.669719,0.081302,0.004000
301,2016-09-27 13:58:39.892,5.684616,0.096199,0.003905
302,2016-09-27 13:58:39.892,5.679714,0.091297,0.004297
303,2016-09-27 13:58:39.892,5.672793,0.084376,0.002970
304,2016-09-27 13:58:39.892,5.659411,0.070994,0.003846
305,2016-09-27 13:58:39.892,5.687580,0.099163,0.002837
306,2016-09-27 13:58:39.892,5.683407,0.094990,0.003592
307,2016-09-27 13:58:39.892,5.676160,0.087743,0.003253
308,2016-09-27 13:58:39.892,5.662657,0.074240,0.003128
309,2016-09-27 13:58:39.892,5.690648,0.102231,0.002952
310,2016-09-27 13:58:39.892,5.681023,0.092606,0.004744
311,2016-09-27 13:58:39.892,5.684142,0.095725,0.003005
312,2016-09-27 13:58:39.892,5.686615,0.098198,0.003095
313,2016-09-27 13:58:39.892,5.687874,0.099457,0.003620
314,2016-09-27 13:58:39.892,5.665840,0.077423,0.003041
315,2016-09-27 13:58:39.892,5.670016,0.081599,0.004073
316,2016-09-27 13:58:39.892,5.673100,0.084683,0.002979
317,2016-09-27 13:58:39.892,5.676852,0.088435,0.003643
318,2016-09-27 13:58:39.892,5.680271,0.091854,0.003314
319,2016-09-27 13:58:39.892,5.684470,0.096053,0.004095
320,2016-09-27 13:58:39.892,5.687954,0.099537,0.003374
321,2016-09-27 13:58:39.892,5.691061,0.102644,0.003001
322,2016-09-27 13:58:39.892,5.694861,0.106444,0.003676
323,2016-09-27 13:58:39.892,5.698046,0.109629,0.003078
324,2016-09-27 13:58:39.896,3.362837,0.017019,0.008337
325,2016-09-27 13:58:39.896,3.363835,0.018017,0.005447
326,2016-09-27 13:58:39.896,3.372623,0.026805,0.006991
327,2016-09-27 13:58:39.896,3.367650,0.021832,0.003660
328,2016-09-27 13:58:39.896,3.366928,0.021110,0.003898
329,2016-09-27 13:58:39.896,3.367432,0.021614,0.005122
330,2016-09-27 13:58:39.896,3.377173,0.031355,0.004328
331,2016-09-27 13:58:39.896,3.371480,0.025662,0.004434
332,2016-09-27 13:58:39.896,3.371295,0.025477,0.003529
333,2016-09-27 13:58:39.896,3.371862,0.026044,0.004279
334,2016-09-27 13:58:39.896,3.381162,0.035344,0.003880
335,2016-09-27 13:58:39.896,3.375597,0.029779,0.004003
336,2016-09-27 13:58:39.896,3.375491,0.029673,0.004084
337,2016-09-27 13:58:39.896,3.376084,0.030266,0.004110
338,2016-09-27 13:58:39.896,3.385639,0.039821,0.004361
339,2016-09-27 13:58:39.896,3.380242,0.034424,0.004521
340,2016-09-27 13:58:39.896,3.379420,0.033602,0.003823
341,2016-09-27 13:58:39.896,3.380367,0.034549,0.004171
342,2016-09-27 13:58:39.896,3.389767,0.043949,0.004020
343,2016-09-27 13:58:39.896,3.384106,0.038288,0.003741
344,2016-09-27 13:58:39.896,3.382959,0.037141,0.003434
345,2016-09-27 13:58:39.896,3.373722,0.027904,0.005965
346,2016-09-27 13:58:39.896,3.387747,0.041929,0.004218
347,2016-09-27 13:58:39.896,3.393618,0.047800,0.003739
348,2016-09-27 13:58:39.896,3.388295,0.042477,0.004076
349,2016-09-27 13:58:39.896,3.387317,0.041499,0.004228
350,2016-09-27 13:58:39.896,3.392265,0.046447,0.004406
351,2016-09-27 13:58:39.896,3.397338,0.051520,0.003613
352,2016-09-27 13:58:39.896,3.378234,0.032416,0.004312
353,2016-09-27 13:58:39.896,3.392250,0.046432,0.003845
354,2016-09-27 13:58:39.896,3.395796,0.049978,0.003424
355,2016-09-27 13:58:39.896,3.392003,0.046185,0.004574
356,2016-09-27 13:58:39.896,3.401710,0.055892,0.004253
357,2016-09-27 13:58:39.896,3.381722,0.035904,0.003369
358,2016-09-27 13:58:39.896,3.396899,0.051081,0.004538
359,2016-09-27 13:58:39.896,3.396948,0.051130,0.004823
360,2016-09-27 13:58:39.896,3.399697,0.053879,0.003789
361,2016-09-27 13:58:39.896,3.405458,0.059640,0.003627
362,2016-09-27 13:58:39.896,3.385915,0.040097,0.004069
363,2016-09-27 13:58:39.896,3.401798,0.055980,0.004789
364,2016-09-27 13:58:39.896,3.401543,0.055725,0.004475
365,2016-09-27 13:58:39.896,3.403820,0.058002,0.004012
366,2016-09-27 13:58:39.896,3.409333,0.063515,0.003766
367,2016-09-27 13:58:39.896,3.390369,0.044551,0.004342
368,2016-09-27 13:58:39.896,3.406098,0.060280,0.004191
369,2016-09-27 13:58:39.896,3.408748,0.062930,0.007092
370,2016-09-27 13:58:39.896,3.407405,0.061587,0.003478
371,2016-09-27 13:58:39.896,3.394773,0.048955,0.004295
372,2016-09-27 13:58:39.896,3.413949,0.068131,0.004500
373,2016-09-27 13:58:39.896,3.409906,0.064088,0.003699
374,2016-09-27 13:58:39.896,3.413392,0.067574,0.004512
375,2016-09-27 13:58:39.896,3.411509,0.065691,0.003994
376,2016-09-27 13:58:39.896,3.398785,0.052967,0.003898
377,2016-09-27 13:58:39.896,3.418039,0.072221,0.003977
378,2016-09-27 13:58:39.896,3.413951,0.068133,0.003937
379,2016-09-27 13:58:39.896,3.417495,0.071677,0.003979
380,2016-09-27 13:58:39.896,3.415399,0.069581,0.003772
381,2016-09-27 13:58:39.896,3.402809,0.056991,0.003915
382,2016-09-27 13:58:39.896,3.421930,0.076112,0.003787
383,2016-09-27 13:58:39.896,3.418510,0.072692,0.004444
384,2016-09-27 13:58:39.896,3.423172,0.077354,0.005476
385,2016-09-27 13:58:39.896,3.419039,0.073221,0.003530
386,2016-09-27 13:58:39.896,3.407959,0.062141,0.005042
387,2016-09-27 13:58:39.896,3.426298,0.080480,0.004255
388,2016-09-27 13:58:39.896,3.421842,0.076024,0.003212
389,2016-09-27 13:58:39.896,3.427428,0.081610,0.004079
390,2016-09-27 13:58:39.896,3.422745,0.076927,0.003572
391,2016-09-27 13:58:39.896,3.412011,0.066193,0.003933
392,2016-09-27 13:58:39.896,3.429804,0.083986,0.003393
393,2016-09-27 13:58:39.896,3.426119,0.080301,0.004168
394,2016-09-27 13:58:39.896,3.430962,0.085144,0.003426
395,2016-09-27 13:58:39.896,3.427208,0.081390,0.004347
396,2016-09-27 13:58:39.896,3.416693,0.070875,0.004538
397,2016-09-27 13:58:39.896,3.433312,0.087494,0.003392
398,2016-09-27 13:58:39.896,3.430910,0.085092,0.004680
399,2016-09-27 13:58:39.896,3.434970,0.089152,0.003906
400,2016-09-27 13:58:39.896,3.432016,0.086198,0.004699
401,2016-09-27 13:58:39.896,3.420814,0.074996,0.003992
402,2016-09-27 13:58:39.896,3.437138,0.091320,0.003712
403,2016-09-27 13:58:39.896,3.439041,0.093223,0.003964
404,2016-09-27 13:58:39.896,3.434994,0.089176,0.003975
405,2016-09-27 13:58:39.896,3.436626,0.090808,0.004497
406,2016-09-27 13:58:39.896,3.425131,0.079313,0.004188
407,2016-09-27 13:58:39.896,3.440827,0.095009,0.003575
408,2016-09-27 13:58:39.896,3.443496,0.097678,0.004343
409,2016-09-27 13:58:39.896,3.438750,0.092932,0.003640
410,2016-09-27 13:58:39.896,3.429299,0.083481,0.004063
411,2016-09-27 13:58:39.896,3.440524,0.094706,0.003778
412,2016-09-27 13:58:39.896,3.444680,0.098862,0.003745
413,2016-09-27 13:58:39.896,3.447686,0.101868,0.004084
414,2016-09-27 13:58:39.896,3.442167,0.096349,0.003296
415,2016-09-27 13:58:39.896,3.433667,0.087849,0.004271
416,2016-09-27 13:58:39.896,3.444978,0.099160,0.004341
417,2016-09-27 13:58:39.896,3.448790,0.102972,0.004002
418,2016-09-27 13:58:39.896,3.451316,0.105498,0.003512
419,2016-09-27 13:58:39.896,3.445823,0.100005,0.003544
420,2016-09-27 13:58:39.896,3.438331,0.092513,0.004549
421,2016-09-27 13:58:39.896,3.449212,0.103394,0.004118
422,2016-09-27 13:58:39.896,3.453028,0.107210,0.004118
423,2016-09-27 13:58:39.896,3.455245,0.109427,0.003816
424,2016-09-27 13:58:39.896,3.449987,0.104169,0.004043
425,2016-09-27 13:58:39.896,3.443290,0.097472,0.004846
426,2016-09-27 13:58:39.896,3.452986,0.107168,0.003656
427,2016-09-27 13:58:39.896,3.457083,0.111265,0.003939
428,2016-09-27 13:58:39.896,3.458962,0.113144,0.003597
